Brand,Series,Title,Price,Memory,Storage
Lenovo,ThinkBook Series,Lenovo ThinkBook 14 G4 IAP (12th Generation Intel Core i5 1235U Processor | 8GB RAM | 512GB SSD | NVIDIA® GeForce MX550 2GB Dedicated Graphics | 14-inch FHD (1920 x 1080) Display | 1 Year Warranty),"रु 83,000.00",,
Acer,Aspire Series,Acer Aspire 5 15 (12th Generation Intel Core i5-1235U Processor | 8GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 2050 4GB Graphics Card | 15.6-inch FHD IPS Slim bezel Display | 1 Year Warranty),"रु 83,999.00",,
HP,Pavilion Series,"HP Pavilion 15-EH1070 (AMD Ryzen 7 5700U Processor | 16GB RAM | 512GB SSD Storage | 15.6"" FHD (1920 x 1080) IPS Display | 1 Year Warranty)","रु 84,999.00",,
Lenovo,IdeaPad Series,Lenovo IdeaPad Slim 3 15ABR8 (AMD Ryzen 7 7730U Processor | 16GB RAM | 512GB SSD | 15.6-inch FHD (1920 x 1080) Display | AMD Radeon Graphics | 1 Year Warranty),"रु 84,999.00",,
Hewlett-Packard (HP),Notebook,"HP Notebook 15s-fq5295nia (Intel core i5-1235U processor | 8GB RAM | 512GB SSD | Intel Iris Xe Graphics | 15.6"" FHD Display","रु 85,000.00",,
DELL,,"Dell Inspiron 16 5630 (Intel Core i5 - 1335U Processor | 8GB RAM | 512GB SSD | Intel Iris Xe | Finger Print Reader|16"" FHD Display |Backlit Keyboard )","रु 85,000.00",,
Acer,Aspire Lite Series,"Acer Aspire Lite 16 (Intel Core i5 1334U Processor | 16GB RAM | 512GB SSD | 16"" WUXGA (1920 x 1200) IPS Display | Intel UHD Graphics | 1 Year Warranty)","रु 85,000.00",,
Hewlett-Packard (HP),Envy,HP Envy x360 14-ES0013dx (13th Gen Intel Core i5-1335U Processor | 8GB RAM | 512GB SSD | 14″ FHD 2-in-1 Touch Screen Display | Fingerprint Reader),"रु 85,000.00",,
ASUS,VivoBook Series,"ASUS VivoBook X1404V-EB793W (13th Generation Intel Core i5 1334U Processor | 16GB RAM | 512GB SSD | 14"" FHD (1920 x 1080) IPS Display | Intel UHD Graphics | 2 Years Authorized Warranty + 1 Year Perfect Warranty)","रु 85,999.00",,
DELL,,"Dell Inspiron 15 3520 (Intel Core i7 - 1255U Processor | 8GB RAM | 512GB SSD | Intel UHD Graphics | 15.6"" FHD Display | UBT )","रु 86,000.00",,
