Brand,Series,Price,Ram,Storage,Graphics,Processor
Acer,Aspire Series,109499.0,16.0,512.0,No,Intel Core i9
ACER,Nitro V 15,109999.0,16.0,512.0, NVIDIA RTX 4050 6GB ,Intel Core i5
HP,Victus Gaming Series,110000.0,16.0,512.0, NVIDIA GeForce RTX 4050 6GB ,AMD Ryzen 5
Acer,Swift Series,111999.0,16.0,512.0, Intel Arc ,Intel Core i7
Hewlett-Packard (HP),Victus,112000.0,16.0,512.0, NVIDIA RTX 4050 ,Intel Core i5
ASUS,VivoBook,112000.0,16.0,512.0,No,i7
MSI,Cyborg Series,112000.0,16.0,512.0, NVIDIA GeForce RTX 2050 4GB ,i5
ACER,Nitro V Series,112999.0,16.0,512.0, RTX 2050 4GB ,Intel Core i7
Acer,Swift Series,112999.0,16.0,512.0, Intel Arc ,Intel Core i7
Lenovo,Yoga Series,112999.0,16.0,512.0, Integrated Intel ,Intel Core i7
Dell,Inspiron Series,113999.0,16.0,512.0, AMD Radeon ,AMD Ryzen 7
Dell,Inspiron Series,113999.0,16.0,512.0, AMD Radeon ,AMD Ryzen 7
Dell,Gaming Series,114999.0,16.0,512.0, NVIDIA GeForce RTX 3050 4GB ,Intel Core i5
Lenovo,LOQ Series,114999.0,24.0,512.0, NVIDIA GeForce RTX 4050 ,Intel Core i5
ASUS,VivoBook Series,115000.0,8.0,512.0, Intel UHD ,Intel Core i5
ASUS,VivoBook Series,115000.0,16.0,512.0, Intel Iris Xe ,Intel Core i7
Dell,Inspiron Series,115999.0,16.0,512.0, Intel ,Intel Core i7
Lenovo,LOQ Series,117999.0,16.0,512.0, NVIDIA GeForce RTX 3050 6GB ,Intel Core i5
ASUS,TUF Series,118000.0,16.0,512.0,No,i7
Lenovo,LOQ Series,118000.0,16.0,512.0, NVIDIA RTX 3050 6GB ,Intel Core i5
HP,Envy x360,119999.0,16.0,512.0, Integrated Intel Iris Xe ,Intel Core i7
HP,Vicuts Series,120000.0,16.0,512.0, NVIDIA GeForce RTX 3050 4GB ,AMD Ryzen 7
